,<H1>,<h>,<body>,<tail>,Skt SLP1,Skt AS,<hom> homonym,<L>,<pc>,italic <i>,bold <b>,Sanskrit <s>,line break <br/> E,line break <lb/> E,column break <cb/> E,paragraph <P/> E,sub-paragraph <P1/> E,headline <H/> E,italic headline <HI/> E,Greek <g>,Arabic <A>,Arabic <Arabic>,sperrsatz <wide>,footnote <F>,picture <pic>,pic name @name,<Picture/> text diagram E,<sic>,<Poem>,<divm> section,C <C/> Column E,Attr n C 1-11,Column 1 <C1/> E,Column 2 <C2/> E,Column 2 <C2H/> E,Column 3 <C3H/> E,Column 3 <C3/> E,Column 4 <C4/> E,Column 5 <C5/> E,Column 6  <C6/> E,Column 7 <C7/> E,Column 8 <C8/> E,Column 9 <C9/> E,Column 10 <c10/> E,Column 11 <C11/> E,<NI> Numbered Paragraph,<nd>,Second Title <S>,<noti>,<gram>,<ls> literary sources,Question <quest> (E),<HI>,slav,<R> Russian,<plus/> E subheading beginning,<Caus/> causal subheading,<Intens/> ,<mdash/>,<c> capitalized botanical,<edit/> E,<UL/> line break?,<NV>,<VN>,<lang>,,,,,,,,,,,,,,,,,,,,,,,,
acc,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i,body/b,body/s,body/br | body/i/br | body/b/br | body/s/br | body/F/br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s,,body/lb | body/i/lb | body/b/lb | body/s/lb | body/quest/lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,body/quest | body/i/quest | body/b/quest | body/s/quest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s | body/b/s,body/br,body/lb,,,,,,,,,body/i/wide (undefined),,,,,body/i/sic (undefined),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap90,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s | body/b/s,,body/lb | body/i/lb | body/b/lb | body/s/lb,,body/P,,body/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ben,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s,,body/lb | body/i/lb | body/b/lb | body/s/lb,,body/P,,,,,,,,,body/pic,body/pic/@name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhs,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,,body/br | body/i/br | body/b/br,,,,,,,body/g | body/i/g | body/b/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bop,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/F/i,,body/s | body/F/s,,body/lb | body/i/lb | body/s/lb  | body/F/lb | body/F//lb,,body/P | body/F/P,,,,body/g | body/i/g | | body/F/g |  | body/F/i/g,,,body/i/wide (undefined),body/F,,,,body/i/sic (undefined),,,,,,,,,,,,,,,,,,,,,,,,,body/HI | body/F/HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bor,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i,body/b,body/s,body/br | body/i/br | body/b/br | body/s/br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bur,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i,body/b,body/s,br (not allowed in body!!!),,,body/P,,body/H,,body/g | body/i/g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cae,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,,,body/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccs,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,,body/s,,,body/cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gra,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,,,,,body/P,body/P1,body/H,,body/g,,,body/wide | body/i/wide,body/F,,,,body/i/sic (undefined),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gst,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,,body/s,,body/lb | body/i/lb | body/s/lb,,body/P,,,,body/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ieg,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/Poem/i,,,,body/lb | body/i/lb | body/Poem/lb,,body/P,,body/H,,,,,,,,,,,body/Poem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inm,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i | body/F/i,body/b,,body/br | body/F/br | body/i/br | body/b/br,,,,,body/H,,body/g | body/i/g | body/b/g,,,,body/F,,,,,,,,,body/C1,body/C2,body/C2H,body/C3H,body/C3,body/C4,body/C5,body/C6,,,,,,body/NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krm,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/F/i,body/b,body/s | body/b/s | body/F/s | body/Poem/s,,body/lb | body/b/lb | body/F/lb | body/Poem/lb,,body/P,,body/H,,,,,,body/F,,,,,body/Poem,,,,,,,,,,,,,,,,,body/NI,body/nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mci,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/F/i,body/b,body/s,,body/lb | body/i/lb | body/b/lb | body/F/lb ,,body/P,,body/H,,,,,,body/F,,,,,,,,,,,,,,,,,,,,,,,,body/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
md,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/b/i,body/b,body/s | body/b/s,,body/lb | body/i/lb | bodyb/lb | body/s/lb,,,,body/H,,body/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mw,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2,H3,H4,H1A,H2A,H3A,H4A,H1B,H2B,H3B,H4B,H1C,H2C,H3C,H4C,HPW,h/hc3,h/hc1,h/loan,tail/MW,tail/mul,tail/mat,tail/mscverb,tail/indoitalic
mw72,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/F/i | body/slav/i,,body/s | body/F/s,,body/lb | body/i/lb | body/s/lb | body/F/bl | body/F/i/lb | body/F/s/lb,,body/P | body/F/P,,body/H | body/F/H,,body/g | body/F/g,,body/Arabic | body/F/Arabic,,body/F | body/F/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,body/HI | body/F/HI,body/slav | body/F/slav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwe,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i | body/s/i,,,,body/lb | body/i/lb | body/s/lb,,,,body/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/b/i,body/b | body/i/b,,body/br | body/i/br | body/b/br | body/s/br,,,,,body/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i | body/F/i | body/Poem/i,body/b,body/s,body/br | body/i/br | body/b/br | body/F/br | body/Poem/br,,,,,body/H,,,,,,body/F | body/Poem/F,,,,,body/Poem | body/F/Poem,,,,body/C1,body/C2,,,body/C3,body/C4,body/C5,body/C6,body/C7,body/C8,body/C9,body/C10,body/C11,body/NI | body/F/NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pgn,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,,body/s,,body/lb | body/i/lb,,body/P,,body/H,body/HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pui,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i | body/F/i,body/b,body/s,body/br | body/i/br | body/b/br | body/s/br | body/F/br | body/F/i/br,,,,,body/H,,,,,,body/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/noti/i,,body/s | body/i/s | body/noti/s,,,,,,,,body/g |  body/i/g | body/noti/g,body/A,,,,,,,body/sic | body//i/sic,,body/divm,,,,,,,,,,,,,,,,,,,body/noti | body/i/noti,body/gram | body/i/gram | body/noti/gram,body/ls |  body/i/ls | body/noti/ls,,,,body/R,body/plus,body/Caus,body/Intens,body/mdash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pwg,H1,h,body,tail,h/key1,"h/key2 (""SLP1"")",h/hom,tail/L,tail/pc,body/i | body/NV/i | body/VN/i | body/F/i,"body/b (""unused"")",body/s | body/NV/s | body/VN/s | body/F/s,body/br | body/NV/br | body/VN/br | body/F/br (not used),,,body/P | body/NV/P | body/VN/P | body/F/P,,body/H | body/NV/H | body/VN/H | body/F/H,,body/g | body/NVg | body/VN/g | body/F/g,,,body/wide | body/NV/wide | body/VN/i | body/F/wide | body//ls/wide | body//i/wide,body/F | body/NV/F | body/VN/F,,,,body/sic | body//i/sic,,body/divm (doesn't occur),,,,,,,,,,,,,,,,,,,,body/gram | body/VN/gram |,body/ls,,,,,,,,,,,body/UL,body/NV (does not occur),body/VN (occurs 3 times),body/lang | body//i/lang,,,,,,,,,,,,,,,,,,,,,,,,
sch,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,,body/s,,,,,,,,,,,body/i/wide (undefined),,,,,body/i/sic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shs,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,,body/s | body/Poem/s,,body/lb | body/s/lb | body/Poem//lb,,,,body/H,body/HI,,,,body/i/wide (undefined),,,,,body/i/sic,body/Poem,,,,,,,,,,,,,,,,,,,,,,,,body/HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skd,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,,,body/s | body/F/s,,body/lb / body/F/lb,,body/P | body/F/P,,body/H,body/HI,,,,,body/F,,,,,,,body/C,body/C/@n,,,,,,,,,,,,,,,,,,,,,body/HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snp,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i,,,,body/lb | body/i/lb | body/c/lb,,body/P,,body/H,body/HI,body/g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,body/HI,,,,,,,body/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vcp,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,,,body/s,,body/lb,,body/P,,body/H,body/HI,,,,,,,,body/Picture,,,,body/C,body/C/@n,,,,,,,,,,,,,,,,,,,,,body/HI,,,,,,,,body/edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vei,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i | body/F/i,body/b | body/F/b,body/s,body/br | body/i/br | body/b/br | body/s/br | body/F/br,,,,,body/H,,body/g | body/F/g,,,,body/F,,,,,,,,,body/C1,body/C2,,,body/C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wil,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s,body/br | body/i/br | body/b/br,,,,,body/H,,body/g,body/A,,,,body/pic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yat,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,,body/s,,body/lb | body/i/lb | body/s/lb | body/F/lb,,,,body/H,,body/g,,,,body/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,35,35,35,35,35,24,35,35,31,19,27,12,18,1,15,1,22,5,14,2,1,6,12,2,1,1,7,4,2,2,2,3,3,1,1,3,2,2,2,1,1,1,1,1,3,1,1,1,2,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
